text,label,source
"Tarif Listrik Naik Dua Kali Lipat. Beredar unggahan foto dari akun Facebook “info cipari terkini” pada Selasa (3/5/2026). Unggahan beserta narasi :“tagihan listrik & pdam tiba-tiba naik drastis:""KOK bisa melonjak 2X lipat?""”",1,TurnBackHoax_Cleaned
"PT PERUSAHAAN Listrik Negara (Persero) menyampaikan tidak ada kenaikan tarif listrik, sebagaimana yang ditetapkan oleh Kementerian Energi dan Sumber Daya Mineral.",0,www.tempo.co
Guru Honorer Dilarang Mengajar di Sekolah Negeri. Beredar unggahan foto dari akun Instagram “singanuswantara” pada Jumat (8/5/2026). Unggahan beserta narasi :“Guru Non-ASN/Honorer Tak Diperbolehkan Lagi Mengajar Di Sekolah Negeri Mulai 2027”,1,TurnBackHoax_Cleaned
"Kemendikdasmen menjelaskan perihal Surat Edaran (SE) Mendikdasmen Nomor 7 Tahun 2026. Kemendikdasmen mengatakan SE itu bukan untuk memberhentikan guru non-aparatur sipil negara (ASN). Penjelasan itu disampaikan Direktur Jenderal Guru dan Tenaga Kependidikan (GTK) Kemendikdasmen, Nunuk Suryani, dalam rapat kerja bersama Komisi X DPR RI di kompleks parlemen, Senayan, Selasa (19/5/2026).",0,news.detik.com
Prabowo Resmi Hapus MBG. Beredar unggahan foto dari akun Facebook “Murshid 2” pada Jumat (29/5/2026) berisi narasi:MBG resmi dihapus prabowo ribuan sppg terancam gulung tikarpurbaya ganti MBG dengan uang tunaibgn sampai pucat! terancam DI seret KPK❌ MBG resmi dihapus❌ purbaya ganti dengan uang tunai❌ BGN terancam DI seret KPK❌ ribuan sppg gulung tikar,1,TurnBackHoax_Cleaned
"PRESIDEN Prabowo Subianto berkukuh tak akan menghentikan program makan bergizi gratis (MBG). Prabowo mengklaim ada banyak cara bagi pemerintah untuk berhemat apabila terjadi krisis, tanpa menyetop program prioritas itu. Pernyataan soal MBG ini ia sampaikan dalam forum diskusi meja bundar dengan sejumlah wartawan dan pakar di rumah pribadi Prabowo di Hambalang, Bogor, Jawa Barat, pada Selasa, 17 Maret 2026.",0,www.tempo.co
Prabowo Resmi Hapus MBG. Beredar unggahan foto dari akun Facebook “Murshid 2” pada Jumat (29/5/2026) berisi narasi:MBG resmi dihapus prabowo ribuan sppg terancam gulung tikarpurbaya ganti MBG dengan uang tunaibgn sampai pucat! terancam DI seret KPK❌ MBG resmi dihapus❌ purbaya ganti dengan uang tunai❌ BGN terancam DI seret KPK❌ ribuan sppg gulung tikar,1,TurnBackHoax_Cleaned
"JAKARTA, KOMPAS.com - Presiden Prabowo Subianto mengakui pengelolaan program Makan Bergizi Gratis (MBG) masih memiliki banyak kekurangan. Bahkan, lebih dari 3.000 Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur MBG yang dinilai bermasalah dalam pelaksanaannya.",0,www.kompas.com
"Foto ""Ratusan Tentara Israel Terbunuh di Perbatasan Selat Hormuz"". Akun Facebook “Aasif Khan” pada Kamis (7/5/2026) mengunggah foto dengan narasi:“Ratusan tentara Israel terbunuh oleh Iran di perbatasan Selat Hormuz”Per Senin (1/6/2026) unggahan tersebut sudah disukai 1.300 kali, dibagikan 113 kali dan menuai 99 komentar.",1,TurnBackHoax_Cleaned
"klarifikasi! Berdasarkan verifikasi Kompas.com sejauh ini, ada yang perlu diluruskan terkait informasi ini. KOMPAS.com - Sebuah foto di media diklaim menampilkan ratusan tentara Israel tewas terbunuh oleh Iran di perbatasan Selat Hormuz. Namun, berdasarkan penelusuran Tim Cek Fakta Kompas.com foto itu ternyata merupakan hasil rekayasa berbasis artificial intelligence (AI).",0,www.kompas.com
"dengan narasi:“virall.!! geger geden. Ungkapan yg seharusnya di tanggapi dengan serius, dimana anggaran yg sangat besar yg di keluarkan hanya untuk satu program yaitu MBG. Anggaran yg seharusnya bisa dimanfaatkan untuk program kesehata / pendidikan yg memang program tersebut sangatlah di butuhkan masyarakat saat ini , malah di hamburkan untuk program MBG”Per Senin (1/6/2026) unggahan tersebut sudah disukai 2.100 kali, dibagikan 69 kali dan menuai 440 komentar.",1,TurnBackHoax_Cleaned
"Menkeu: Anggaran alutsista hingga MBG tidak ganggu struktur APBN semuanya sudah kita hitung dengan baik, termasuk untuk MBG, untuk program-program yang lain, tanpa mengganggu program pembangunan yang lain Jakarta (ANTARA) - Menteri Keuangan Purbaya Yudhi Sadewa menegaskan seluruh program kerja pemerintah mulai dari pengadaan alutsista hingga Makan Bergizi Gratis (MBG) telah diperhitungkan secara cermat agar tidak mengganggu struktur Anggaran Pendapatan dan Belanja Negara dengan berpedoman pada batas defisit di bawah tiga persen.",0,www.antaranews.com
"Tautan Pendaftaran Bantuan Bibit Udang Gratis 2026. Akun Facebook “Nur Rahmayani” pada Minggu (3/5/2026) membagikan foto disertai takarir:“Saatnya masyarakat bangkit dan mandiri! Kami menghadirkan Program Bantuan Bibit Udang gratis sebagai upaya mendukung budidaya udang, ketahanan pangan, dan peningkatan kesejahteraan masyarakat. Program ini terbuka untuk warga yang serius ingin berusaha dan berkembang. Ayo daftar sekarang dan jadilah bagian dari perubahan!! Untuk pendaftaran silahkan klik link https://dftrsekarangjuga[dot]niliini[dot]com/”Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menemukan klaim serupa di akun TikTok “inspirasi_masyarakat” . Per Minggu (31/5/2026) konten tersebut telah mendapat lebih dari 50 tanda suka, menuai 79 komentar, dan dibagikan ulang sebanyak 1 kali oleh pengguna Facebook lainnya.",1,TurnBackHoax_Cleaned
